OBJECT;Simbad_ID;RA;DEC;Program_ID;Observation_Date;Coronography;Filter;Average_DIMM
WRAY 15-788;WRAY 15-788;11:17:51.52;-64:02:02.1;0104.C-0354(A;2019-12-02;Coronography;B_KS;0.7
WRAY 15-788;WRAY 15-788;11:17:51.52;-64:02:02.1;0104.C-0354(A;2019-12-13;Coronography;B_KS;0.67
HD 98800;HD 98800;11:22:05.05;-24:46:39.3;098.C-0468(C);2017-03-05;Coronography;B_H;1.24
HD 98800;HD 98800;11:22:05.05;-24:46:39.3;098.C-0468(C);2017-03-14;Coronography;B_H;0.59
HD 98800;HD 98800;11:22:05.05;-24:46:39.3;0102.C-0138(A;2019-01-23;-;N_CNTH;1.08
HD  98922;HD  98922;11:22:31.50;-53:22:08.5;0102.C-0165(A;2019-01-23;Coronography;B_H;1.08
HD  98922;HD  98922;11:22:31.50;-53:22:08.5;0102.C-0165(A;2019-01-23;Coronography;N_CNTH;1.08
HD100453;HD100453;11:33:05.28;-54:19:25.9;096.C-0333(A);2016-03-26;Coronography;B_J;1.69
HD100453;HD100453;11:33:05.28;-54:19:25.9;096.C-0248(B);2016-03-31;Coronography;B_J;1.0
HD100453;HD100453;11:33:05.28;-54:19:25.9;096.C-0248(B);2016-04-01;Coronography;B_J;1.15
HD100453;HD100453;11:33:05.28;-54:19:25.9;0101.C-0464(A;2018-06-05;Coronography;B_H;1.27
HD100453;HD100453;11:33:05.28;-54:19:25.9;0101.C-0464(A;2018-06-06;Coronography;B_H;1.03
HD 100546;HD 100546;11:33:25.13;-70:11:39.3;096.C-0248(B);2016-04-01;Coronography;B_J;1.15
HD 100546;HD 100546;11:33:25.13;-70:11:39.3;097.C-0523(A);2016-05-26;Coronography;B_KS;0.62
HD 100546;HD 100546;11:33:25.13;-70:11:39.3;0102.C-0162(A;2019-02-18;Coronography;B_H;0.65
HD 100546;HD 100546;11:33:25.13;-70:11:39.3;106.21HJ.001;2020-12-22;Coronography;B_KS,P0-90;0.6
DZ_CHA;DZ_CHA;11:49:32.01;-78:50:58.8;097.C-0536(A);2016-04-15;Coronography;B_J;0.61
DZ_CHA;DZ_CHA;11:49:32.01;-78:50:58.8;097.C-0536(A);2016-04-15;-;B_J;0.61
T CHA;T CHA;11:57:13.51;-79:21:31.3;096.C-0248(C);2016-02-20;Coronography;B_H;1.16
RU CEN;RU CEN;12:09:23.59;-45:25:34.4;0102.D-0696(A;2019-01-12;-;B_H;0.81
HD 109573;HD 109573;12:36:00.84;-39:52:08.0;0104.C-0436(B;2021-04-08;Coronography;B_J,P0-90;0.49
IRAS 12535-7623;IRAS 12535-7623;12:57:12.03;-76:40:09.3;1104.C-0415(E;2021-02-06;Coronography;B_H,P0-90;0.49
SZ  51;SZ  51;13:01:59.00;-77:51:20.2;1104.C-0415(F;2021-02-01;Coronography;B_H,P0-90;0.58
